code,name,industry,industry_standard,as_of,last_close,average_amount_20d,momentum_60d,revenue_yoy,profit_yoy,latest_week_end,sector_estimated_net_flow,sector_flow_to_amount,sector_score,rounded_bottom,rounded_score,rounded_r2,rounded_curvature,rounded_recovery,last_5d_return,accumulation_anomaly,accumulation_score,main_net_10d,main_positive_ratio,main_flow_zscore,volume_ratio,price_return_10d,revenue_yoy_w,profit_yoy_w,financial_growth,industry_financial_growth_mean,industry_momentum_mean,growth_metric,industry_growth_mean,growth_above_avg,growth_source,growth_percentile,composite_score,hard_signal,watch_signal
603083,剑桥科技,通信设备,申万二级行业,2026-09-24,209.63,5009035051.55,-0.04028750629492295,,,2026-09-25,-256711801127.34818,-0.4752725829999615,0.016,False,1.0,0.639453383836154,0.3126847237396475,0.6109275340044571,-0.0429164954572433,False,0.17108501880503263,-13525730517.237637,0.3,-0.3294920340307157,0.8108501880503264,-0.06606967833912503,,,,,-0.02064166061987398,-0.04028750629492295,-0.02064166061987398,False,60日价格动量(财报缺失后备),0.4634146341463415,0.4618249132378435,False,False
601117,中国化学,专业工程,申万二级行业,2026-09-24,7.22,392711859.2,-0.03604806408544736,,,2026-09-25,-5151641719.616099,-0.22185365647497343,0.32,False,0.5710893854748594,0.6685069867866034,-0.0464577329110344,0.008379888268156277,0.008379888268156277,False,0.45132573806292764,60367915.33296743,0.6,-0.2096493342948177,0.7132573806292761,-0.008241758241758323,,,,,-0.055859630324667224,-0.03604806408544736,-0.055859630324667224,True,60日价格动量(财报缺失后备),0.45454545454545453,0.4617946137945534,False,False
605123,派克新材,航空装备Ⅱ,申万二级行业,2026-09-24,80.0,125097772.45,-0.16317991631799156,,,2026-09-25,-11661762822.54975,-0.21244028987500976,0.232,False,1.0,0.400437327268346,0.13199273513666007,0.10619469026548689,0.02118968598417159,False,0.22226446913752862,-55111203.25516697,0.5,-0.02549193919118161,0.7226446913752863,-0.005717126522495564,,,,,-0.0449493063122074,-0.16317991631799156,-0.0449493063122074,False,60日价格动量(财报缺失后备),0.2391304347826087,0.4617487259800343,False,False
000062,深圳华强,其他电子Ⅱ,申万二级行业,2026-09-24,22.74,638234654.6,-0.26000650829808014,,,2026-09-25,-28731416088.81565,-0.39409384499755995,0.152,False,1.0,0.5489953502260261,0.20756269883037395,0.09537572254335247,0.007085916740478204,False,0.22224544936556323,-358496671.3911263,0.5,-0.12552949792345017,0.7224544936556322,0.009320905459387463,,,,,-0.12949926699814868,-0.26000650829808014,-0.12949926699814868,False,60日价格动量(财报缺失后备),0.30303030303030304,0.4617189380989665,False,False
000917,电广传媒,电视广播Ⅱ,申万二级行业,2026-09-24,6.84,224853018.9,0.014836795252225476,,,2026-09-25,238970713.6065849,0.023296419769735403,0.808,False,0.7148510602839484,0.5480075936955968,-0.0798570848759097,0.09265175718849838,0.008849557522123908,False,0.19967505672989894,-81484883.48206672,0.5,0.021371567830769354,0.4711046859020661,-0.014409221902017322,,,,,0.10516442288888261,0.014836795252225476,0.10516442288888261,False,60日价格动量(财报缺失后备),0.14285714285714285,0.461688367981945,False,False
002727,一心堂,医药商业,申万二级行业,2026-09-24,10.6,56834238.65,0.04228121927236961,,,2026-09-25,-2621732263.7393928,-0.12102807951874263,0.488,False,0.6618159203980095,0.7219454634753303,-0.12710759124037416,0.05472636815920384,-0.012115563839701804,False,0.17818172890352696,-30675334.76911883,0.4,-0.1465660540753253,0.5818172890352695,-0.026629935720844933,,,,,0.08272452185122622,0.04228121927236961,0.08272452185122622,False,60日价格动量(财报缺失后备),0.4838709677419355,0.4616579502807685,False,False
600725,云维股份,焦炭Ⅱ,申万二级行业,2026-09-24,3.25,50985118.85,-0.0030674846625766694,,,2026-09-25,1061523891.5958391,0.14679000508216342,0.896,False,0.6326929000550657,0.5092314800660791,-0.013877844046031582,0.08333333333333326,-0.006116207951070374,False,0.2271820553495334,-19627601.217365775,0.5,-0.38534259353869044,0.7718205534953338,-0.03273809523809523,,,,,0.2032420849927914,-0.0030674846625766694,0.2032420849927914,False,60日价格动量(财报缺失后备),0.14285714285714285,0.4615176695681888,False,False
688191,智洋创新,电网设备,申万二级行业,2026-09-24,22.05,128672127.2,-0.3350422195416163,,,2026-09-25,-29467516834.56105,-0.22830393231232476,0.136,False,1.0,0.3695881012203974,0.22336606521394503,0.3307181653590827,0.10305152576288146,False,0.5051225711617096,52868920.355514646,0.6,0.2394132740902937,0.963929782708744,0.13542739443872298,,,,,-0.05678413709236903,-0.3350422195416163,-0.05678413709236903,False,60日价格动量(财报缺失后备),0.032,0.4614806427904274,False,False
300302,同有科技,计算机设备,申万二级行业,2026-09-24,28.25,541969740.0,-0.3762419960256127,,,2026-09-25,-20528771371.292343,-0.2270925198976598,0.168,False,1.0,0.6335975150214689,0.19457519209835192,0.07496194824961933,0.01728483975513151,False,0.4728412988727085,162628467.73126125,0.6,0.1722337983997812,0.7217324306473475,0.0405156537753224,,,,,-0.012777749521953428,-0.3762419960256127,-0.012777749521953428,False,60日价格动量(财报缺失后备),0.038461538461538464,0.4614257093335617,False,False
002749,国光股份,农化制品,申万二级行业,2026-09-24,8.44,30863168.9,0.04714640198511155,,,2026-09-25,-6155862320.219759,-0.13588441244307456,0.296,False,0.7010429919211363,0.60273468736098,-0.07966577250528897,0.07379134860050884,0.004761904761904745,False,0.19791387548244088,-55828465.29792996,0.5,-0.38267249545062487,0.479138754824409,-0.02314814814814825,,,,,0.018871106866212368,0.04714640198511155,0.018871106866212368,True,60日价格动量(财报缺失后备),0.5689655172413793,0.461232745757296,False,False
301123,奕东电子,消费电子,申万二级行业,2026-09-24,76.8,716219473.4,-0.27265839568140926,,,2026-09-25,-70544406917.83176,-0.3372626729474486,0.032,False,1.0,0.43509455862064206,0.29544189748029004,0.4230127848804892,-0.027848101265822822,False,0.4506841576041011,9374031.792844355,0.5,0.20304022874504504,0.7631933015469566,0.019920318725099584,,,,,-0.0685576398882566,-0.27265839568140926,-0.0685576398882566,False,60日价格动量(财报缺失后备),0.16853932584269662,0.4612058708616994,False,False
688055,龙腾光电,光学光电子,申万二级行业,2026-09-24,3.71,29769459.6,-0.33032490974729245,,,2026-09-25,-56430222175.02039,-0.2894262931023721,0.056,False,1.0,0.5612344192080527,0.08915073917397509,0.042134831460674205,0.002702702702702675,False,0.4534269634594558,4731866.924325366,0.5,0.17911858489891935,0.8193273327158549,0.042134831460674205,,,,,-0.15475022407926828,-0.33032490974729245,-0.15475022407926828,False,60日价格动量(财报缺失后备),0.14606741573033707,0.46107359479744825,False,False
603012,创力集团,专用设备,申万二级行业,2026-09-24,8.7,243637994.95,0.08478802992518708,,,2026-09-25,-42436064390.50951,-0.3051150468584585,0.088,False,0.6778196480325984,0.48005024430578525,-0.02230506127454422,0.11111111111111094,-0.03654485049833889,False,0.16503493053567306,-321764059.4037751,0.4,-0.07355069389501372,0.4503493053567307,-0.05021834061135377,,,,,-0.041457221518201345,0.08478802992518708,-0.041457221518201345,True,60日价格动量(财报缺失后备),0.7953216374269005,0.4610350364004229,False,False
