date,strategy,horizon,objective,lookback_metrics
2026-08-20,weak_defensive_flow,2,0.004079969787505295,"{'trades': 81, 'signal_days': 27, 'win_rate': 0.6419753086419753, 'mean_return': 0.005609214511832447, 'median_return': 0.006660869565217544, 'daily_sharpe': 4.773640548301918, 'max_drawdown': -0.03212925036901715, 'profit_factor': 1.827172199671365}"
2026-08-21,weak_defensive_flow,2,0.00534020242560798,"{'trades': 78, 'signal_days': 26, 'win_rate': 0.6666666666666666, 'mean_return': 0.006871972376127513, 'median_return': 0.006768243313236823, 'daily_sharpe': 6.12625545392731, 'max_drawdown': -0.020063475226860028, 'profit_factor': 2.146285973896709}"
2026-08-24,weak_defensive_flow,2,0.006563876235862234,"{'trades': 75, 'signal_days': 25, 'win_rate': 0.6933333333333334, 'mean_return': 0.008410851271172616, 'median_return': 0.007745794392523477, 'daily_sharpe': 8.18409758648431, 'max_drawdown': -0.020063475226860028, 'profit_factor': 2.692055554546273}"
2026-08-25,weak_defensive_flow,2,0.006212958053661858,"{'trades': 72, 'signal_days': 24, 'win_rate': 0.6944444444444444, 'mean_return': 0.00803623521325435, 'median_return': 0.007266445583358584, 'daily_sharpe': 7.705897041234496, 'max_drawdown': -0.020063475226859917, 'profit_factor': 2.6957601604325285}"
2026-08-26,weak_defensive_flow,2,0.007044399262893938,"{'trades': 72, 'signal_days': 24, 'win_rate': 0.7083333333333334, 'mean_return': 0.00909863231393979, 'median_return': 0.007266445583358584, 'daily_sharpe': 9.242310979681655, 'max_drawdown': -0.02006347522686014, 'profit_factor': 3.2951447418643927}"
2026-08-27,weak_defensive_flow,3,0.006138469302063608,"{'trades': 72, 'signal_days': 24, 'win_rate': 0.6388888888888888, 'mean_return': 0.008617873085554426, 'median_return': 0.006183161720169574, 'daily_sharpe': 6.716303890728503, 'max_drawdown': -0.04373758011065909, 'profit_factor': 2.4586565966337677}"
2026-08-28,weak_defensive_flow,2,0.004676799191506714,"{'trades': 66, 'signal_days': 22, 'win_rate': 0.6818181818181818, 'mean_return': 0.006206089632098302, 'median_return': 0.005983473456642009, 'daily_sharpe': 8.007532050429555, 'max_drawdown': -0.02006347522686014, 'profit_factor': 2.4350381504875127}"
2026-08-31,weak_defensive_flow,2,0.0037145748541306607,"{'trades': 63, 'signal_days': 21, 'win_rate': 0.6666666666666666, 'mean_return': 0.005069587724298912, 'median_return': 0.005306077348066475, 'daily_sharpe': 7.082837567116814, 'max_drawdown': -0.02006347522686014, 'profit_factor': 2.1189602520964863}"
2026-09-01,weak_reversal,2,0.004218325826019498,"{'trades': 26, 'signal_days': 11, 'win_rate': 0.6153846153846154, 'mean_return': 0.008682530313073816, 'median_return': 0.0066035834652367524, 'daily_sharpe': 3.639778678337186, 'max_drawdown': -0.046577630672617665, 'profit_factor': 1.9490753733023132}"
2026-09-02,weak_reversal,2,0.005888472937824224,"{'trades': 23, 'signal_days': 10, 'win_rate': 0.6521739130434783, 'mean_return': 0.011660844322818931, 'median_return': 0.006637232289950658, 'daily_sharpe': 4.821355406016013, 'max_drawdown': -0.03368614313766716, 'profit_factor': 2.5355633267996893}"
2026-09-03,weak_reversal,2,0.006396340716978441,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.6818181818181818, 'mean_return': 0.01279728682332248, 'median_return': 0.0068459174825047835, 'daily_sharpe': 6.191463649883168, 'max_drawdown': -0.03160000000000007, 'profit_factor': 2.745253029146934}"
2026-09-04,weak_reversal,3,0.006468172491401152,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.5454545454545454, 'mean_return': 0.013595345184140599, 'median_return': 0.02247725880876943, 'daily_sharpe': 5.165113557529181, 'max_drawdown': -0.04464729678473456, 'profit_factor': 2.2649809344336838}"
2026-09-07,weak_reversal,3,0.006468172491401152,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.5454545454545454, 'mean_return': 0.013595345184140599, 'median_return': 0.02247725880876943, 'daily_sharpe': 5.165113557529181, 'max_drawdown': -0.04464729678473456, 'profit_factor': 2.2649809344336838}"
2026-09-08,weak_reversal,3,0.006468172491401152,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.5454545454545454, 'mean_return': 0.013595345184140599, 'median_return': 0.02247725880876943, 'daily_sharpe': 5.165113557529181, 'max_drawdown': -0.04464729678473456, 'profit_factor': 2.2649809344336838}"
2026-09-09,weak_reversal,3,0.006468172491401152,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.5454545454545454, 'mean_return': 0.013595345184140599, 'median_return': 0.02247725880876943, 'daily_sharpe': 5.165113557529181, 'max_drawdown': -0.04464729678473456, 'profit_factor': 2.2649809344336838}"
2026-09-10,weak_reversal,2,0.0075476965722748495,"{'trades': 19, 'signal_days': 8, 'win_rate': 0.6842105263157895, 'mean_return': 0.01612279822730101, 'median_return': 0.008535135135135308, 'daily_sharpe': 7.376717238212321, 'max_drawdown': -0.03160000000000007, 'profit_factor': 3.3615360395678078}"
2026-09-11,weak_reversal,3,0.00863604553143034,"{'trades': 19, 'signal_days': 8, 'win_rate': 0.631578947368421, 'mean_return': 0.018932182965203003, 'median_return': 0.026400000000000024, 'daily_sharpe': 7.205347277713448, 'max_drawdown': -0.0431162828372742, 'profit_factor': 3.04578581993031}"
2026-09-14,weak_reversal,3,0.010162477340737063,"{'trades': 16, 'signal_days': 7, 'win_rate': 0.6875, 'mean_return': 0.022781967271178566, 'median_return': 0.028918936341659922, 'daily_sharpe': 7.904516972018468, 'max_drawdown': -0.011892072322670533, 'profit_factor': 4.23634879327552}"
2026-09-15,weak_reversal,2,0.007582629390848804,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.6363636363636364, 'mean_return': 0.014200425019463251, 'median_return': 0.007677796387034409, 'daily_sharpe': 6.860870077042033, 'max_drawdown': -0.009034423824454518, 'profit_factor': 3.367767725112546}"
2026-09-16,weak_reversal,3,0.0077566591706955445,"{'trades': 22, 'signal_days': 9, 'win_rate': 0.5909090909090909, 'mean_return': 0.015257517384119255, 'median_return': 0.02247725880876943, 'daily_sharpe': 5.785544490722891, 'max_drawdown': -0.025518687239774684, 'profit_factor': 2.6678797183166867}"
2026-09-17,weak_reversal,2,0.005203493586907139,"{'trades': 25, 'signal_days': 10, 'win_rate': 0.6, 'mean_return': 0.009978723459506835, 'median_return': 0.006569934640522847, 'daily_sharpe': 6.501282730910921, 'max_drawdown': -0.03159999999999996, 'profit_factor': 2.278388877503748}"
2026-09-18,weak_reversal,3,0.0059686312481700785,"{'trades': 25, 'signal_days': 10, 'win_rate': 0.56, 'mean_return': 0.011838332770143898, 'median_return': 0.02121667977970092, 'daily_sharpe': 6.755271204238642, 'max_drawdown': -0.04130452673435059, 'profit_factor': 2.1191349592550464}"
2026-09-21,weak_reversal,3,0.00735782791997061,"{'trades': 28, 'signal_days': 11, 'win_rate': 0.5714285714285714, 'mean_return': 0.013612797116199912, 'median_return': 0.022354808291337448, 'daily_sharpe': 7.839669281955867, 'max_drawdown': -0.04130452673435059, 'profit_factor': 2.287467579162264}"
2026-09-22,weak_reversal,3,0.006784792951398199,"{'trades': 30, 'signal_days': 11, 'win_rate': 0.5666666666666667, 'mean_return': 0.012307730406164442, 'median_return': 0.01374296458718698, 'daily_sharpe': 8.142103744178572, 'max_drawdown': -0.04130452673435059, 'profit_factor': 2.1749682825769803}"
2026-09-23,weak_reversal,3,0.0034640821867389085,"{'trades': 30, 'signal_days': 11, 'win_rate': 0.5, 'mean_return': 0.006926139700176947, 'median_return': -0.002281102158867963, 'daily_sharpe': 6.082989537214371, 'max_drawdown': -0.04130452673435081, 'profit_factor': 1.5632593421317083}"
