template,breadth,sector_flow,stock_flow,max_vol_rank,momentum,horizon,train_trades,train_mean_return,train_win_rate,validation_trades,validation_days,validation_mean_return,validation_win_rate,validation_profit_factor,validation_max_drawdown,selection_objective,pullback_rank,breakout,volume_ratio
flow_trend,0.5,0.0,0.03,0.75,0.65,2,55,0.00369607285078132,0.509090909090909,30,6,0.013906156062234857,0.7,2.7824986837545467,-0.013600000000000056,0.014193780733173492,,,
flow_trend,0.5,-0.03,0.0,0.75,0.65,2,55,0.00369607285078132,0.509090909090909,30,6,0.013906156062234857,0.7,2.7824986837545467,-0.013600000000000056,0.014193780733173492,,,
flow_trend,0.5,-0.03,0.03,0.75,0.65,2,55,0.00369607285078132,0.509090909090909,30,6,0.013906156062234857,0.7,2.7824986837545467,-0.013600000000000056,0.014193780733173492,,,
flow_trend,0.5,-0.03,-0.03,0.75,0.65,2,55,0.00369607285078132,0.509090909090909,30,6,0.013906156062234857,0.7,2.7824986837545467,-0.013600000000000056,0.014193780733173492,,,
flow_trend,0.5,0.0,-0.03,0.75,0.65,2,55,0.00369607285078132,0.509090909090909,30,6,0.013906156062234857,0.7,2.7824986837545467,-0.013600000000000056,0.014193780733173492,,,
flow_trend,0.4,0.0,-0.03,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,0.0,0.0,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,0.03,0.0,0.75,0.65,3,85,0.0034458608172056064,0.4823529411764706,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,0.0,0.03,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,0.03,-0.03,0.75,0.65,3,85,0.0034458608172056064,0.4823529411764706,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,-0.03,0.03,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,-0.03,0.0,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,-0.03,-0.03,0.75,0.65,3,85,0.0032651710007096037,0.47058823529411764,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
flow_trend,0.4,0.03,0.03,0.75,0.65,3,85,0.0034458608172056064,0.4823529411764706,40,8,0.014176068481458082,0.6,2.3398717024379194,-0.02311906158357757,0.014067464559560235,,,
trend_pullback,0.5,0.0,-0.03,1.0,0.5,3,55,-0.0022879975462435716,0.41818181818181815,30,6,0.013459075141157776,0.6333333333333333,2.5834835680521984,-0.0025739503524364604,0.014027727522597731,0.7,,
