code,date,open,high,low,close,volume,amount,main_net,industry,name,ret5,ret10,ret20,ret60,ma20_gap,breakout20,vol20,amount_ratio5_20,flow5,flow10,flow_positive_ratio10,flow_z,net_return_1d,net_return_2d,net_return_3d,market_ret20,market_breadth,median_vol20,sector_flow5,mom20_rank,mom60_rank,flow10_rank,vol20_rank,ret5_industry_rank,sector_flow_rank,signal_score,strategy,horizon,net_return
601658,2026-07-22,5.03,5.11,5.0,5.11,143903725.0,727671028.0,727671028.0,国有大型银行Ⅱ,邮储银行,0.003929273084479545,0.00988142292490135,0.03861788617886197,-0.015414258188824692,0.018841591067690455,-0.021072796934865745,0.00997772818993928,1.1849460741109907,0.19810847093701042,0.4303702827996584,0.7,0.5893462020203678,0.0003607843137257052,0.0023215686274509666,-0.003560784313725483,-0.12274122059324921,0.24063313965137248,0.03424289934889855,0.32292214489077303,0.8651572831095973,0.8670949608512347,0.9887798036465638,0.0004007212983370066,0.16666666666666666,0.9778601482668804,0.9887497495491886,weak_defensive_flow,1,0.0003607843137257052
000651,2026-07-22,40.45,40.92,40.11,40.86,51975410.0,2108344327.0,1795997019.2962854,白色家电,格力电器,0.025859904594526695,0.06019719771665799,0.10105092966855289,0.10551948051948057,0.0539756239117819,-0.005597468970552577,0.010321777663288432,1.206859905746698,0.24251425752372716,0.4072566849750481,0.7,0.9406040413342126,-0.003568019680196775,-0.006274046740467341,-0.00799606396063952,-0.12274122059324921,0.24063313965137248,0.03424289934889855,0.17594968444845702,0.9404928871969546,0.9329451917285686,0.9853736726106993,0.0008014425966740132,0.9,0.9620316569825687,0.9825185333600481,weak_defensive_flow,1,-0.003568019680196775
601658,2026-07-23,5.1,5.13,5.08,5.11,110689268.0,565102578.0,113020515.60000804,国有大型银行Ⅱ,邮储银行,0.011881188118811892,0.02200000000000002,0.04285714285714293,-0.013513513513513375,0.016713091922005763,-0.021072796934865745,0.009889898607127136,1.1910382404771638,0.28070443858523225,0.4786213112227976,0.8,0.6670239665515328,-0.0016,-0.007459375,0.014025,-0.07970479704797051,0.3201763173712683,0.034898822120518466,0.46040536429232953,0.8246844319775596,0.86029706945002,0.9937888198757764,0.0006010819475055099,0.16666666666666666,0.9994990983770787,0.9971849328791824,weak_defensive_flow,1,-0.0016
600905,2026-07-23,3.93,3.96,3.9,3.94,118607716.0,466556311.0,155518770.3333333,电力,三峡能源,0.04509283819628651,0.07065217391304346,0.05066666666666664,-0.041362530413625365,0.039715001979152786,-0.015000000000000013,0.011486588315121529,1.4951963694517243,0.4169559221001492,0.5379388916623822,1.0,1.147360068776411,-0.019411704834605702,-0.021956234096692184,-0.031600000000000024,-0.07970479704797051,0.3201763173712683,0.034898822120518466,0.42348877633096316,0.8425165297535564,0.8307908470493778,0.9971949509116409,0.0036064916850330597,0.28703703703703703,0.988078541374474,0.9942195952714887,weak_defensive_flow,1,-0.019411704834605702
600690,2026-07-23,21.78,21.88,21.62,21.86,30383675.0,662269327.0,560381738.2307706,白色家电,海尔智家,0.03552818569398397,0.09245377311344316,0.10070493454179252,0.0673828125,0.05565616322588429,-0.020609318996415826,0.01414884564626254,1.1796869180307479,0.38482853869874095,0.46742537284733865,0.8,1.1800657467987046,0.00024162062615111913,0.005306077348066475,0.02970755064456725,-0.07970479704797051,0.3201763173712683,0.034898822120518466,0.26762632216472954,0.9236625926668003,0.9179044560417503,0.9917852133840913,0.01743137647765979,0.9,0.9560208375075135,0.9782909236625927,weak_defensive_flow,1,0.00024162062615111913
601658,2026-07-24,5.12,5.15,5.08,5.12,155629931.0,795168122.0,113595445.99999712,国有大型银行Ⅱ,邮储银行,0.005893909626719207,0.015873015873015817,0.04065040650406515,-0.005825242718446644,0.016679904686259128,-0.019157088122605304,0.009879430460730977,1.1626831133168958,0.21291445344514404,0.4013033996522864,0.8,0.5037629556192585,-0.009397270955165692,0.012045224171540126,-0.0035493177387913672,-0.07743373115148527,0.1785571142284569,0.03466668673093189,0.38255838833508027,0.8206412825651302,0.893394900622365,0.9935871743486974,0.0004008016032064128,0.16666666666666666,0.999498997995992,0.9971643286573146,weak_defensive_flow,1,-0.009397270955165692
600905,2026-07-24,3.93,3.95,3.86,3.86,113861782.0,443283255.0,-443283255.0,电力,三峡能源,0.015789473684210575,0.03208556149732611,0.021164021164021163,-0.0585365853658536,0.017529985501515633,-0.03500000000000003,0.012478820334830495,1.3953016059214678,0.2851992559659041,0.38989455366378956,0.9,0.7903399638019118,0.0010041666666667406,-0.0042041666666666295,0.0036083333333332595,-0.07743373115148527,0.1785571142284569,0.03466668673093189,0.28492778799823304,0.7695390781563126,0.845814093555511,0.9931863727454909,0.006613226452905812,0.5555555555555556,0.9870741482965932,0.9914128256513026,weak_defensive_flow,1,0.0010041666666667406
601919,2026-07-24,15.3,15.4,15.27,15.32,101447893.0,1556149499.0,-359111422.846144,航运港口,中远海控,0.05364511691884455,0.09585121602288993,0.14413741598207608,0.07887323943661984,0.07796228539262606,0.0019620667102682177,0.01363297923068707,1.3846701714879581,0.4192541036783811,0.3669708614316925,0.6,0.8015337703511402,-0.0035556714471968827,0.0042670143415906485,0.012089700130378179,-0.07743373115148527,0.1785571142284569,0.03466668673093189,0.2677540211462611,0.9591182364729459,0.9347520578197149,0.9895791583166332,0.014028056112224449,0.8823529411764706,0.9672344689378758,0.9817935871743486,weak_defensive_flow,1,-0.0035556714471968827
000598,2026-07-27,7.21,7.35,7.2,7.35,27941874.0,203094068.0,203094068.0,环境治理,兴蓉环境,0.02941176470588225,0.07456140350877183,0.13777089783281737,0.07299270072992692,0.06800348735832618,-0.012096774193548487,0.013213310399298588,1.2868490243280666,0.46641124011333684,0.40262484426305395,0.7,0.49685979405043607,-0.017948773841961873,-0.002962397820163452,0.006574386920980936,-0.05169555380378582,0.29121540312876054,0.035215440598378785,0.2831974890478812,0.9538708383473726,0.9182238296162347,0.9875651825110309,0.012234255916566386,0.66,0.9210790212595267,0.9676795026073004,weak_defensive_flow,1,-0.017948773841961873
601139,2026-07-27,6.32,6.47,6.32,6.45,29187250.0,187571707.0,137552585.13333422,燃气Ⅱ,深圳燃气,0.012558869701726927,0.06435643564356441,0.13957597173144887,-0.08898305084745761,0.05703048180924308,-0.02124430955993928,0.012980201816295237,1.3297704130347376,0.16104633393725695,0.28338643943559044,0.7,0.41130695261255373,-0.014061059190031155,0.007745794392523477,0.01709158878504673,-0.05169555380378582,0.29121540312876054,0.035215440598378785,0.3153898221215957,0.9548736462093863,0.7623066104078763,0.9400320898515845,0.010629763337344564,0.6666666666666666,0.9777376654632972,0.9661452065784195,weak_defensive_flow,1,-0.014061059190031155
